iter	PRAUC	Logloss
0	0.6582679624	0.6890160227
1	0.6646825993	0.6839336308
2	0.6726257507	0.6803000929
3	0.6768822016	0.6766753623
4	0.6789698569	0.6737376311
5	0.6824218571	0.6699898059
6	0.6829691872	0.6672870522
7	0.6833262469	0.6650224064
8	0.6858590061	0.6627629362
9	0.6876640614	0.6606435625
10	0.6875098887	0.6585162904
11	0.6876127668	0.6565037972
12	0.687685063	0.6551392141
13	0.6879106131	0.6537742193
14	0.6882944767	0.6524789984
15	0.689317237	0.6508721883
16	0.6891345046	0.6497568185
17	0.6900024795	0.6484973629
18	0.6917357479	0.6471588377
19	0.6929862725	0.6458762052
20	0.6940366047	0.6446726632
21	0.6941238104	0.6436569357
22	0.69489624	0.6424665288
23	0.6955069461	0.641487376
24	0.6964186663	0.6405761083
25	0.6968553711	0.6397741441
26	0.6972846828	0.6390568618
27	0.698302342	0.6381159248
28	0.6987486208	0.6374633877
29	0.6994255339	0.63684588
30	0.7000480104	0.6360478805
31	0.7005481833	0.6352617669
32	0.700986525	0.6347394254
33	0.7014314635	0.6341816209
34	0.7021018575	0.6333891224
35	0.7028419746	0.6329352255
36	0.70331986	0.6323233908
37	0.7040394702	0.6317027334
38	0.7047219667	0.6312534807
39	0.7050275687	0.6306006457
40	0.7052109788	0.6301944245
41	0.7061106719	0.6293705966
42	0.7064976346	0.6288656924
43	0.7071396428	0.62852041
44	0.7075879236	0.6279574799
45	0.7081895305	0.6273149094
46	0.7084054854	0.6269714918
47	0.7089921036	0.6263588611
48	0.7094585721	0.6259420959
49	0.7096673222	0.6255317803
50	0.7101177132	0.625210549
51	0.7105880122	0.6247951597
52	0.7115110284	0.6243022977
53	0.7117161601	0.6240177138
54	0.7124976333	0.6234080315
55	0.7130205214	0.6231322017
56	0.7135379022	0.6227462929
57	0.7148346613	0.622189577
58	0.7156099782	0.6217743914
59	0.7159877731	0.6214966417
60	0.7165854767	0.6212074993
61	0.7171142843	0.6205738793
62	0.7177506546	0.6200549154
63	0.7179694064	0.6197003526
64	0.7181244443	0.6194795517
65	0.7191422153	0.6189770492
66	0.7197332556	0.6186335608
67	0.7198914524	0.6184555495
68	0.7204428678	0.618066022
69	0.7206127224	0.6178498589
70	0.7211282886	0.6175390324
71	0.7213388705	0.6172654743
72	0.7218578954	0.6168598364
73	0.7221343111	0.616596237
74	0.7228320767	0.6161441591
75	0.7230714037	0.6159983544
76	0.7232926486	0.6157953702
77	0.7236719431	0.6154997688
78	0.7247252383	0.6149587812
79	0.7251483216	0.6145647177
80	0.7253537619	0.6142264456
81	0.7258033642	0.6138856592
82	0.7259671761	0.6136136425
83	0.7264743963	0.6134174559
84	0.7267481231	0.6132252505
85	0.7270812714	0.6129513432
86	0.727473593	0.612690867
87	0.7280317734	0.6123493681
88	0.7287109843	0.6120136141
89	0.7287404549	0.6119386362
90	0.7291585262	0.6116739548
91	0.7306643188	0.6109186126
92	0.7307716111	0.6108171762
93	0.731144577	0.6105339571
94	0.7313783041	0.6100687878
95	0.7316565334	0.6098891382
96	0.7320152121	0.6096524137
97	0.7325623261	0.6093561472
98	0.7330320659	0.6090934566
99	0.7333021164	0.6087547279
100	0.7336910582	0.6084644483
101	0.7340550186	0.6081133699
102	0.734238585	0.6079202927
103	0.7344554181	0.6076644383
104	0.7348273705	0.6072921659
105	0.7351419866	0.6070993852
106	0.7355508959	0.6068488026
107	0.7358067188	0.6066590108
108	0.7362200383	0.6064440383
109	0.7364924607	0.606157424
110	0.7368110212	0.6059312459
111	0.7372686164	0.6056297828
112	0.7376086908	0.6053492195
113	0.7377839713	0.6051764264
114	0.7378799836	0.6050078191
115	0.7382244622	0.6047805415
116	0.7385020196	0.6045395704
117	0.7385582546	0.604383997
118	0.7387303108	0.6042080593
119	0.7393754133	0.6038153562
120	0.7396636263	0.603676161
121	0.7400956291	0.6034221819
122	0.740455008	0.6032175148
123	0.7406434539	0.6031075435
124	0.7409805841	0.6028891524
125	0.7414133945	0.6026625058
126	0.7415549541	0.6024871806
127	0.7418079882	0.6022493559
128	0.7419552521	0.6021549682
129	0.7422488635	0.601974819
130	0.7425478649	0.6017231554
131	0.7426523838	0.6015490294
132	0.7430507033	0.6013205383
133	0.7435377446	0.6010254051
134	0.7437856849	0.600879341
135	0.7439690426	0.6007615988
136	0.7442428187	0.6005295202
137	0.7443757953	0.6003315187
138	0.7445329843	0.6001512561
139	0.7448547398	0.5999515812
140	0.7449897775	0.5997612136
141	0.7453358601	0.5994127175
