iter	Passed	Remaining
0	68	34016
1	76	19097
2	84	14020
3	93	11554
4	101	10001
5	110	9083
6	119	8439
7	129	7945
8	139	7596
9	149	7328
10	159	7081
11	168	6868
12	178	6682
13	187	6519
14	197	6382
15	207	6265
16	217	6170
17	227	6087
18	237	6006
19	248	5952
20	257	5882
21	268	5831
22	278	5769
23	288	5718
24	298	5662
25	308	5618
26	317	5567
27	327	5523
28	337	5477
29	347	5442
30	357	5414
31	367	5380
32	378	5354
33	388	5325
34	398	5297
35	408	5267
36	419	5246
37	429	5222
38	439	5196
39	450	5180
40	460	5157
41	470	5129
42	480	5112
43	490	5087
44	500	5062
45	510	5039
46	520	5017
47	530	4995
48	540	4972
49	550	4951
50	560	4937
51	571	4922
52	581	4901
53	591	4883
54	600	4862
55	610	4842
56	620	4820
57	630	4802
58	640	4786
59	650	4768
60	660	4754
61	670	4740
62	681	4724
63	690	4707
64	700	4685
65	710	4671
66	720	4654
67	729	4634
68	739	4616
69	749	4601
70	759	4587
71	769	4574
72	779	4559
73	789	4543
74	799	4531
75	809	4516
76	819	4500
77	828	4482
78	838	4469
79	848	4456
80	858	4441
81	868	4425
82	878	4415
83	889	4403
84	899	4389
85	909	4376
86	919	4364
87	929	4351
88	938	4335
89	948	4319
90	958	4307
91	968	4297
92	978	4284
93	988	4270
94	998	4257
95	1009	4246
96	1019	4234
97	1029	4221
98	1038	4206
99	1048	4192
100	1058	4180
101	1067	4166
102	1077	4154
103	1087	4142
104	1097	4129
105	1107	4115
106	1117	4105
107	1127	4091
108	1138	4084
109	1149	4074
110	1159	4063
111	1169	4050
112	1179	4038
113	1189	4027
114	1199	4014
115	1209	4003
116	1220	3994
117	1230	3982
118	1240	3970
119	1250	3960
120	1260	3948
121	1271	3938
122	1281	3928
123	1291	3915
124	1301	3903
125	1311	3893
126	1321	3882
127	1331	3870
128	1341	3858
129	1354	3854
130	1363	3842
131	1374	3831
132	1384	3819
133	1394	3810
134	1405	3798
135	1414	3786
136	1425	3776
137	1434	3763
138	1444	3751
139	1454	3741
140	1465	3730
141	1475	3720
